"order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds"
"3322376,31,Jilin,4849,126.56526,43.84112,94,14,09-25 08:08:00,09-25 08:08:00,126.56614,43.87092,09-25 11:32:00,09-25 11:32:00,126.56919,43.84248,0925"
"4093119,31,Jilin,4849,126.56519,43.8411,94,14,08-21 09:11:00,08-21 09:11:00,126.56611,43.87081,08-21 15:00:00,08-21 15:00:00,126.56939,43.84269,0821"
"36226,31,Jilin,4849,126.56987,43.85017,235,14,06-08 15:42:00,06-08 15:42:00,126.56612,43.87074,06-08 17:24:00,06-08 17:24:00,126.57628,43.84771,0608"
"3950697,31,Jilin,4849,126.56984,43.85005,235,14,09-03 14:03:00,09-03 14:03:00,nan,nan,09-03 16:31:00,09-03 16:31:00,126.56815,43.85131,0903"
"2510744,31,Jilin,435,126.56359,43.8654,570,1,09-19 07:43:00,09-19 07:43:00,126.56606,43.87077,09-19 12:27:00,09-19 12:27:00,126.56365,43.86554,0919"
"1562257,31,Jilin,435,126.56198,43.86764,570,1,08-27 09:10:00,08-27 09:10:00,126.5662,43.87111,08-27 12:51:00,08-27 12:51:00,126.56296,43.8671,0827"
"299175,31,Jilin,435,126.56368,43.86698,570,1,08-23 08:09:00,08-23 08:09:00,126.56608,43.87082,08-23 13:04:00,08-23 13:04:00,126.56333,43.8671,0823"
"798252,31,Jilin,435,126.56342,43.86723,570,1,08-16 07:58:00,08-16 07:58:00,126.56605,43.87071,08-16 14:12:00,08-16 14:12:00,126.56231,43.86732,0816"
"3018843,31,Jilin,435,126.56355,43.86688,570,1,08-24 08:32:00,08-24 08:32:00,126.56607,43.87088,08-24 14:54:00,08-24 14:54:00,126.56374,43.86715,0824"
"175628,31,Jilin,435,126.56327,43.8671,570,1,05-29 14:19:00,05-29 14:19:00,126.56588,43.87114,05-29 15:16:00,05-29 15:16:00,126.56363,43.86758,0529"
"563644,31,Jilin,435,126.56199,43.86755,570,1,07-24 08:04:00,07-24 08:04:00,126.56598,43.87095,07-24 13:17:00,07-24 13:17:00,126.56164,43.8677,0724"
"2805781,31,Jilin,435,126.56321,43.86588,570,1,06-04 18:22:00,06-04 18:22:00,126.56606,43.87086,06-04 19:08:00,06-04 19:08:00,126.56358,43.86597,0604"
"3334309,31,Jilin,435,126.56286,43.86709,570,1,05-27 08:14:00,05-27 08:14:00,126.56605,43.87075,05-27 14:06:00,05-27 14:06:00,126.56157,43.86696,0527"
"3766002,31,Jilin,435,126.56358,43.86725,570,1,07-14 08:32:00,07-14 08:32:00,126.56607,43.87075,07-14 09:54:00,07-14 09:54:00,126.5623,43.86749,0714"
"3371324,31,Jilin,435,126.56353,43.86615,570,1,08-26 08:47:00,08-26 08:47:00,126.56624,43.8707,08-26 12:34:00,08-26 12:34:00,126.56558,43.8627,0826"
"1207527,31,Jilin,435,126.56209,43.86556,570,1,07-25 08:18:00,07-25 08:18:00,126.56614,43.87097,07-25 10:19:00,07-25 10:19:00,126.56227,43.86566,0725"
"2754711,31,Jilin,435,126.56342,43.86718,570,1,09-30 08:16:00,09-30 08:16:00,126.56615,43.87072,09-30 11:53:00,09-30 11:53:00,126.56229,43.8674,0930"
"3783846,31,Jilin,435,126.56212,43.8662,570,1,09-02 07:40:00,09-02 07:40:00,126.56612,43.87079,09-02 11:18:00,09-02 11:18:00,126.56184,43.86636,0902"
"1930254,31,Jilin,435,126.5619,43.86753,570,1,05-20 07:53:00,05-20 07:53:00,126.56611,43.87087,05-20 10:00:00,05-20 10:00:00,126.56161,43.86791,0520"
"1205092,31,Jilin,435,126.56192,43.86765,570,1,06-29 09:23:00,06-29 09:23:00,126.56603,43.87073,06-29 10:38:00,06-29 10:38:00,126.56366,43.86668,0629"
"1994231,31,Jilin,435,126.56285,43.86699,570,1,07-03 07:45:00,07-03 07:45:00,126.56601,43.87077,07-03 09:09:00,07-03 09:09:00,126.56158,43.86716,0703"
"2535068,31,Jilin,435,126.56213,43.86611,570,1,09-02 07:44:00,09-02 07:44:00,126.56602,43.87085,09-02 11:40:00,09-02 11:40:00,126.56364,43.8656,0902"
"2836703,31,Jilin,435,126.56311,43.86753,570,1,07-08 08:15:00,07-08 08:15:00,126.56618,43.8707,07-08 11:28:00,07-08 11:28:00,126.56374,43.86595,0708"
"2126578,31,Jilin,435,126.56265,43.86589,570,1,08-30 09:19:00,08-30 09:19:00,126.56603,43.87083,08-30 15:04:00,08-30 15:04:00,126.56261,43.8659,0830"
"2011976,31,Jilin,435,126.56195,43.86753,570,1,09-21 09:00:00,09-21 09:00:00,126.56602,43.87105,09-21 12:56:00,09-21 12:56:00,126.56179,43.86779,0921"
"3980398,31,Jilin,435,126.56283,43.86709,570,1,05-29 08:15:00,05-29 08:15:00,126.566,43.87079,05-29 09:36:00,05-29 09:36:00,126.56267,43.86713,0529"
"2551443,31,Jilin,435,126.5619,43.86756,570,1,09-09 09:15:00,09-09 09:15:00,126.56629,43.87103,09-09 11:58:00,09-09 11:58:00,126.56158,43.86791,0909"
"1761826,31,Jilin,435,126.56285,43.86704,570,1,07-02 08:10:00,07-02 08:10:00,126.56593,43.8709,07-02 10:03:00,07-02 10:03:00,126.56224,43.86709,0702"
"1629224,31,Jilin,4609,126.56185,43.86753,570,1,06-18 12:24:00,06-18 12:24:00,126.56603,43.87105,06-18 12:49:00,06-18 12:49:00,126.56177,43.86764,0618"
"1179290,31,Jilin,949,126.58717,43.84076,819,14,08-28 08:53:00,08-28 08:53:00,126.5661,43.87108,08-28 10:38:00,08-28 10:38:00,126.58821,43.84214,0828"
"1014290,31,Jilin,949,126.58747,43.8407,819,14,09-30 08:10:00,09-30 08:10:00,126.56605,43.87106,09-30 11:44:00,09-30 11:44:00,126.58752,43.84069,0930"
"999258,31,Jilin,949,126.58713,43.84063,819,14,08-29 08:34:00,08-29 08:34:00,126.56598,43.87087,08-29 11:56:00,08-29 11:56:00,126.58644,43.84143,0829"
"1553172,31,Jilin,949,126.58731,43.84069,819,14,05-30 14:52:00,05-30 14:52:00,126.56602,43.87124,05-30 16:27:00,05-30 16:27:00,126.58769,43.84103,0530"
"3277890,31,Jilin,949,126.58845,43.8415,819,14,09-11 08:47:00,09-11 08:47:00,126.56603,43.87091,09-11 12:21:00,09-11 12:21:00,126.58884,43.84133,0911"
"3844755,31,Jilin,949,126.58721,43.84072,819,14,08-18 07:39:00,08-18 07:39:00,126.566,43.87105,08-18 09:46:00,08-18 09:46:00,126.58761,43.84167,0818"
"4509296,31,Jilin,949,126.58735,43.84066,819,14,05-18 08:55:00,05-18 08:55:00,126.56615,43.87111,05-18 11:43:00,05-18 11:43:00,126.5872,43.84059,0518"
"393583,31,Jilin,949,126.5874,43.84062,819,14,06-15 07:45:00,06-15 07:45:00,126.56606,43.87121,06-15 09:45:00,06-15 09:45:00,126.58709,43.84038,0615"
"1885731,31,Jilin,949,126.58945,43.84167,819,14,09-20 08:35:00,09-20 08:35:00,126.56609,43.87111,09-20 10:56:00,09-20 10:56:00,126.58987,43.84135,0920"
"157038,31,Jilin,1558,126.58841,43.84106,819,14,10-06 07:53:00,10-06 07:53:00,126.56619,43.87125,10-06 15:36:00,10-06 15:36:00,126.5663,43.87074,1006"
"2916955,31,Jilin,1558,126.57785,43.88545,970,1,09-09 07:57:00,09-09 07:57:00,126.56607,43.87092,09-09 08:52:00,09-09 08:52:00,126.57742,43.88557,0909"
"338918,31,Jilin,1558,126.57831,43.88469,970,1,09-07 09:03:00,09-07 09:03:00,126.56618,43.87081,09-07 09:55:00,09-07 09:55:00,126.57686,43.88451,0907"
"4042536,31,Jilin,949,126.58888,43.83732,1101,10,08-18 07:39:00,08-18 07:39:00,126.56603,43.87108,08-18 10:06:00,08-18 10:06:00,126.59,43.83761,0818"
"1074543,31,Jilin,435,126.56225,43.85851,1530,14,05-18 08:39:00,05-18 08:39:00,126.56594,43.87072,05-18 16:21:00,05-18 16:21:00,126.56465,43.86485,0518"
"3640339,31,Jilin,435,126.56159,43.85811,1530,14,07-08 08:12:00,07-08 08:12:00,126.56608,43.87075,07-08 12:53:00,07-08 12:53:00,126.55538,43.86006,0708"
"1568469,31,Jilin,435,126.5616,43.85812,1530,14,07-22 07:36:00,07-22 07:36:00,126.56602,43.87068,07-22 12:29:00,07-22 12:29:00,126.55738,43.87103,0722"
"28212,31,Jilin,435,126.56167,43.85818,1530,14,08-13 07:50:00,08-13 07:50:00,126.56615,43.87079,08-13 12:56:00,08-13 12:56:00,126.56123,43.86393,0813"
"668288,31,Jilin,435,126.56107,43.85852,1530,14,07-01 07:59:00,07-01 07:59:00,126.56604,43.87111,07-01 11:02:00,07-01 11:02:00,126.56115,43.85851,0701"
"1492794,31,Jilin,435,126.561,43.85857,1530,14,05-20 07:56:00,05-20 07:56:00,126.56611,43.87084,05-20 13:32:00,05-20 13:32:00,126.56188,43.85859,0520"
"2128642,31,Jilin,435,126.56239,43.85881,1530,14,08-15 07:59:00,08-15 07:59:00,126.56615,43.87079,08-15 12:52:00,08-15 12:52:00,126.55066,43.86058,0815"
"3413952,31,Jilin,435,126.5616,43.8581,1530,14,08-06 07:52:00,08-06 07:52:00,126.56622,43.87065,08-06 12:46:00,08-06 12:46:00,126.56267,43.85895,0806"
"3113663,31,Jilin,435,126.56217,43.85868,1530,14,05-27 08:13:00,05-27 08:13:00,126.56611,43.8707,05-27 12:08:00,05-27 12:08:00,126.55305,43.86037,0527"
"539971,31,Jilin,435,126.5618,43.85801,1530,14,07-06 07:54:00,07-06 07:54:00,126.56605,43.87087,07-06 12:01:00,07-06 12:01:00,126.56482,43.86445,0706"
"129699,31,Jilin,4849,126.58322,43.84367,1642,4,08-25 09:27:00,08-25 09:27:00,126.56612,43.87109,08-25 14:45:00,08-25 14:45:00,126.58507,43.83923,0825"
"1172914,31,Jilin,4849,126.58293,43.84364,1642,4,07-24 07:42:00,07-24 07:42:00,126.56618,43.8711,07-24 11:49:00,07-24 11:49:00,126.58216,43.84373,0724"
"3152115,31,Jilin,4849,126.58299,43.8436,1642,4,05-16 09:26:00,05-16 09:26:00,126.56609,43.87099,05-16 12:14:00,05-16 12:14:00,126.58189,43.84345,0516"
"3248964,31,Jilin,4849,126.58287,43.84356,1642,4,06-28 08:48:00,06-28 08:48:00,126.5661,43.87106,06-28 10:57:00,06-28 10:57:00,126.58326,43.84264,0628"
"603700,31,Jilin,4849,126.58284,43.8436,1642,4,09-18 08:16:00,09-18 08:16:00,126.56605,43.871,09-18 13:43:00,09-18 13:43:00,126.58222,43.84346,0918"
"3969888,31,Jilin,1558,126.57094,43.88233,1665,1,10-05 07:42:00,10-05 07:42:00,126.56625,43.87094,10-05 16:59:00,10-05 16:59:00,126.56602,43.8708,1005"
"2740179,31,Jilin,4849,126.56952,43.84952,1696,14,09-26 07:41:00,09-26 07:41:00,126.56626,43.87108,09-26 14:41:00,09-26 14:41:00,126.56793,43.85028,0926"
"3984957,31,Jilin,4849,126.57105,43.84978,1696,14,09-16 09:01:00,09-16 09:01:00,126.56661,43.8706,09-16 10:34:00,09-16 10:34:00,126.57119,43.8496,0916"
"3607142,31,Jilin,4849,126.57027,43.84934,1696,14,08-22 09:02:00,08-22 09:02:00,126.56603,43.87095,08-22 10:52:00,08-22 10:52:00,126.57045,43.84934,0822"
"3441123,31,Jilin,949,126.5963,43.84239,1996,14,09-05 08:57:00,09-05 08:57:00,126.56605,43.87106,09-05 13:46:00,09-05 13:46:00,126.59598,43.84292,0905"
"2367622,31,Jilin,949,126.59569,43.84223,1996,14,07-12 07:42:00,07-12 07:42:00,126.56619,43.87092,07-12 10:20:00,07-12 10:20:00,126.59381,43.84323,0712"
"3531641,31,Jilin,1558,126.574,43.88344,2236,14,09-07 09:01:00,09-07 09:01:00,126.56613,43.87084,09-07 10:13:00,09-07 10:13:00,126.57593,43.88329,0907"
"1958738,31,Jilin,949,126.59439,43.85849,2553,14,08-07 08:20:00,08-07 08:20:00,126.56601,43.87105,08-07 12:03:00,08-07 12:03:00,126.59454,43.85686,0807"
"3333951,31,Jilin,949,126.59435,43.8584,2553,14,07-24 07:43:00,07-24 07:43:00,126.56614,43.87093,07-24 10:51:00,07-24 10:51:00,126.59429,43.85836,0724"
"116584,31,Jilin,949,126.59473,43.85866,2553,14,08-05 07:52:00,08-05 07:52:00,126.56606,43.87105,08-05 11:42:00,08-05 11:42:00,126.58685,43.85836,0805"
"1275400,31,Jilin,4849,126.59503,43.85883,2553,14,08-13 08:27:00,08-13 08:27:00,126.56615,43.87091,08-13 13:41:00,08-13 13:41:00,126.57903,43.8369,0813"
"1367467,31,Jilin,435,126.55231,43.85359,2796,1,05-16 09:12:00,05-16 09:12:00,126.56607,43.87128,05-16 12:31:00,05-16 12:31:00,126.552,43.85637,0516"
"652335,31,Jilin,435,126.55202,43.85386,2796,1,05-21 08:36:00,05-21 08:36:00,126.56603,43.87079,05-21 13:10:00,05-21 13:10:00,126.5502,43.85927,0521"
